step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
916,0.91341,0.7341,,
917,0.27285,0.93298,,
918,0.1812,0.91667,,
919,0.41989,0.84906,,
920,0.1965,0.94588,,
921,0.26957,0.89871,,
922,0.25653,0.89616,,
923,0.43943,0.86234,,
924,0.35581,0.85849,,
925,0.0578,0.98611,,
926,0.26376,0.90709,,
927,0.37365,0.87179,,
928,0.21548,0.90838,,
929,0.28629,0.88267,,
930,0.38399,0.86563,,
931,0.2117,0.92857,,
932,0.48351,0.84986,,
933,0.35727,0.88043,,
934,0.29786,0.94378,,
935,0.26025,0.91143,,
936,0.32786,0.87967,,
937,0.24952,0.9108,,
938,0.37148,0.85912,,
939,0.35915,0.89195,,
940,0.21541,0.9247,,
941,0.16995,0.95102,,
942,0.20322,0.92535,,
943,0.15614,0.95283,,
944,0.24709,0.9181,,
945,0.49525,0.84104,,
946,0.29798,0.90738,,
947,0.39163,0.86255,,
948,0.3014,0.89341,,
949,0.34353,0.87952,,
950,0.28861,0.91051,,
951,0.24441,0.90929,,
952,0.13104,0.96067,,
953,0.28779,0.88514,,
954,0.27698,0.90065,,
955,0.33825,0.87383,,
956,0.50336,0.86197,,
957,0.31395,0.90647,,
958,0.16106,0.9204,,
959,0.53515,0.83795,,
960,0.32809,0.89252,,
961,0.13438,0.96047,,
962,0.31292,0.89427,,
963,0.24357,0.91415,,
964,0.20356,0.92675,,
965,0.25365,0.9064,,
966,0.35998,0.89105,,
967,0.65345,0.82436,,
968,0.35882,0.8931,,
969,0.241,0.92027,,
970,0.15297,0.96306,,
971,0.28845,0.90928,,
972,0.39629,0.88151,,
973,0.3073,0.88832,,
974,0.33263,0.88095,,
975,0.18776,0.92735,,
976,0.76949,0.79235,,
977,0.33032,0.89388,,
978,0.25045,0.92271,,
979,0.26114,0.90881,,
980,0.50326,0.85,,
981,0.29866,0.88937,,
982,0.33672,0.86364,,
983,0.32264,0.8885,,
984,0.32798,0.89602,,
985,0.38296,0.87333,,
